Time,"Idle","Exceptions","Event Recorder"
0.774350,,,0xf010,
0.774440,,,0xf00b,
0.774751,,,0xf00b,
0.784350,,,0xf010,
0.784440,,,0xf00b,
0.784751,,,0xf00b,
0.794350,,,0xf010,
0.794440,,,0xf00b,
0.794751,,,0xf00b,
0.804350,,,0xf010,
0.804440,,,0xf00b,
0.804751,,,0xf00b,
0.814350,,,0xf010,
0.814440,,,0xf00b,
0.814751,,,0xf00b,
0.824350,,,0xf010,
0.824440,,,0xf00b,
0.824751,,,0xf00b,
0.834350,,,0xf010,
0.834440,,,0xf00b,
0.834750,,,0xf00b,
0.844350,,,0xf010,
0.844440,,,0xf00b,
0.844751,,,0xf00b,
0.854350,,,0xf010,
0.854440,,,0xf00b,
0.854750,,,0xf00b,
0.864350,,,0xf010,
0.864440,,,0xf00b,
0.864751,,,0xf00b,
0.874350,,,0xf010,
0.874440,,,0xf00b,
0.874750,,,0xf00b,
0.884350,,,0xf010,
0.884440,,,0xf00b,
0.884751,,,0xf00b,
0.894350,,,0xf010,
0.894440,,,0xf00b,
0.894751,,,0xf00b,
0.904350,,,0xf010,
0.904440,,,0xf00b,
0.904751,,,0xf00b,
0.914350,,,0xf010,
0.914440,,,0xf00b,
0.914751,,,0xf00b,
0.924350,,,0xf010,
0.924440,,,0xf00b,
0.924751,,,0xf00b,
0.934350,,,0xf010,
0.934440,,,0xf00b,
0.934751,,,0xf00b,
0.944350,,,0xf010,
0.944440,,,0xf00b,
0.944751,,,0xf00b,
0.954350,,,0xf010,
0.954440,,,0xf00b,
0.954750,,,0xf00b,
0.964350,,,0xf010,
0.964440,,,0xf00b,
0.964751,,,0xf00b,
0.974350,,,0xf010,
0.974440,,,0xf00b,
0.974750,,,0xf00b,
0.984350,,,0xf010,
0.984440,,,0xf00b,
0.984751,,,0xf00b,
0.994350,,,0xf010,
0.994440,,,0xf00b,
0.994754,,,0xf00b,
1.004350,,,0xf010,
1.004485,,,0xf010,
1.004621,,,0xf010,
1.004709,,,0xf00b,
1.005006,,,0xf00b,
1.005298,,,0xf00b,
1.005609,,,0xf00b,
1.005898,,,0xf00b,
1.015350,,,0xf010,
1.015440,,,0xf00b,
1.015751,,,0xf00b,
1.025350,,,0xf010,
1.025440,,,0xf00b,
1.025751,,,0xf00b,
1.035351,,,0xf010,
1.035441,,,0xf00b,
1.035753,,,0xf00b,
1.045351,,,0xf010,
1.045441,,,0xf00b,
1.045753,,,0xf00b,
1.055351,,,0xf010,
1.055441,,,0xf00b,
1.055753,,,0xf00b,
1.065351,,,0xf010,
1.065441,,,0xf00b,
1.065753,,,0xf00b,
1.075351,,,0xf010,
1.075441,,,0xf00b,
1.075752,,,0xf00b,
1.085351,,,0xf010,
1.085441,,,0xf00b,
1.085752,,,0xf00b,
1.095351,,,0xf010,
1.095441,,,0xf00b,
1.095752,,,0xf00b,
1.105351,,,0xf010,
1.105441,,,0xf00b,
1.105752,,,0xf00b,
1.115351,,,0xf010,
